miRNA,index
hsa-let-7a-2,u1
hsa-let-7a-3,u2
hsa-let-7c-5p,u3
hsa-let-7f-1,u4
hsa-mir-19b-1,u5
hsa-mir-24-1,u6
hsa-mir-24-2,u7
hsa-mir-26a-1,u8
hsa-mir-92a-1,u9
hsa-mir-92a-2,u10
hsa-mir-29b-1,u11
hsa-mir-16-2,u12
hsa-mir-196a-1,u13
hsa-mir-199a-1,u14
hsa-mir-7-3,u15
hsa-mir-196a-2,u16
hsa-mir-199a-2,u17
hsa-mir-125b-1,u18
hsa-mir-153-2,u19
hsa-mir-125b-2,u20
hsa-mir-128-2,u21
hsa-mir-26a-2,u22
hsa-mir-365a,u23
hsa-mir-324,u24
hsa-mir-409,u25
hsa-miR-485-5p,u26
hsa-miR-485-3p,u27
hsa-mir-450a-2,u28
hsa-mir-548a-1,u29
hsa-mir-548a-2,u30
hsa-mir-542,u31
hsa-mir-770,u32
hsa-mir-1207,u33
hsa-mir-1285-1,u34
hsa-mir-548h-2,u35
hsa-mir-1255b-1,u36
hsa-let-7a-5p,u37
hsa-let-7b-5p,u38
hsa-let-7d-5p,u39
hsa-let-7e-5p,u40
hsa-let-7f-5p,u41
hsa-miR-15a-5p,u42
hsa-miR-16-5p,u43
hsa-miR-17-5p,u44
hsa-miR-17-3p,u45
hsa-miR-18a-5p,u46
hsa-miR-19a-3p,u47
hsa-miR-19b-3p,u48
hsa-miR-20a-5p,u49
hsa-miR-21-5p,u50
hsa-miR-22-3p,u51
hsa-miR-23a-3p,u52
hsa-miR-24-1-5p,u53
hsa-miR-24-3p,u54
hsa-miR-25-3p,u55
hsa-miR-26a-5p,u56
hsa-miR-26b-5p,u57
hsa-miR-27a-3p,u58
hsa-miR-28-5p,u59
hsa-miR-29a-3p,u60
hsa-miR-30a-5p,u61
hsa-miR-30a-3p,u62
hsa-miR-31-5p,u63
hsa-miR-32-5p,u64
hsa-miR-33a-5p,u65
hsa-miR-92a-3p,u66
hsa-miR-93-5p,u67
hsa-miR-95-3p,u68
hsa-miR-96-5p,u69
hsa-miR-98-5p,u70
hsa-miR-99a-5p,u71
hsa-miR-100-5p,u72
hsa-miR-101-3p,u73
hsa-miR-29b-3p,u74
hsa-miR-103a-3p,u75
hsa-miR-105-5p,u76
hsa-miR-106a-5p,u77
hsa-miR-107,u78
