drug,index
15,i1
241,i2
544,i3
702,i4
712,i5
784,i6
790,i7
896,i8
985,i9
1110,i10
1130,i11
1175,i12
1176,i13
1832,i14
1983,i15
2051,i16
2187,i17
2244,i18
2336,i19
2353,i20
2375,i21
2520,i22
2578,i23
2662,i24
2733,i25
2767,i26
2907,i27
2995,i28
3071,i29
3101,i30
3103,i31
3117,i32
3121,i33
3220,i34
3229,i35
3345,i36
3385,i37
3386,i38
3397,i39
3488,i40
3564,i41
3652,i42
3657,i43
3690,i44
3763,i45
3821,i46
3902,i47
3961,i48
4033,i49
4091,i50
4095,i51
4158,i52
4212,i53
4624,i54
4641,i55
4763,i56
4891,i57
4943,i58
5035,i59
5073,i60
5291,i61
5311,i62
5361,i63
5394,i64
5538,i65
5743,i66
5746,i67
5755,i68
5757,i69
5789,i70
5790,i71
5793,i72
5816,i73
5865,i74
5881,i75
5950,i76
5951,i77
5959,i78
5978,i79
5994,i80
5997,i81
6013,i82
6037,i83
6041,i84
6057,i85
6089,i86
6106,i87
6115,i88
6167,i89
6253,i90
6279,i91
6468,i92
6623,i93
7222,i94
8642,i95
9064,i96
9444,i97
9700,i98
10621,i99
10635,i100
10836,i101
10940,i102
13089,i103
13342,i104
14403,i105
14888,i106
15625,i107
15939,i108
21109,i109
23973,i110
24288,i111
24360,i112
24497,i113
24759,i114
28486,i115
30323,i116
31101,i117
31401,i118
31703,i119
36314,i120
36462,i121
37542,i122
38904,i123
41867,i124
42113,i125
42890,i126
43815,i127
44259,i128
47318,i129
47725,i130
53232,i131
54454,i132
60198,i133
60606,i134
60700,i135
60750,i136
60780,i137
60823,i138
60838,i139
60852,i140
60953,i141
64971,i142
65015,i143
65064,i144
65110,i145
65348,i146
72301,i147
72304,i148
73581,i149
77999,i150
89594,i151
91466,i152
97226,i153
104741,i154
104746,i155
104842,i156
107985,i157
108065,i158
114900,i159
119104,i160
119307,i161
122634,i162
122724,i163
123596,i164
123631,i165
123865,i166
124886,i167
126941,i168
141643,i169
145858,i170
148124,i171
156413,i172
162282,i173
164676,i174
171548,i175
176870,i176
208908,i177
216239,i178
216326,i179
216345,i180
229455,i181
253602,i182
261000,i183
261004,i184
285033,i185
387447,i186
439260,i187
439530,i188
442428,i189
442793,i190
442972,i191
444732,i192
444795,i193
445154,i194
445434,i195
445580,i196
445639,i197
445858,i198
446220,i199
448013,i200
448537,i201
449171,i202
451668,i203
452548,i204
455658,i205
460612,i206
462382,i207
636397,i208
638278,i209
644241,i210
657237,i211
667639,i212
689043,i213
969516,i214
1548943,i215
2723601,i216
2733526,i217
3006531,i218
3028194,i219
3062316,i220
5222465,i221
5280343,i222
5280360,i223
5280427,i224
5280448,i225
5280453,i226
5280795,i227
5280961,i228
5281708,i229
5282350,i230
5283344,i231
5284373,i232
5284616,i233
5288209,i234
5288826,i235
5310940,i236
5318517,i237
5329102,i238
5352624,i239
5360373,i240
5460341,i241
5462222,i242
6442177,i243
6505803,i244
6857599,i245
9547215,i246
9576410,i247
9804992,i248
9826528,i249
9915743,i250
9931953,i251
9949648,i252
10184653,i253
11226684,i254
11228183,i255
11556711,i256
11626560,i257
11707110,i258
11953817,i259
16197265,i260
17754356,i261
21633059,i262
23725625,i263
24180719,i264
24978538,i265
25183872,i266
25227436,i267
25262965,i268
42611257,i269
44631912,i270
45266826,i271
46843772,i272
54670067,i273
54671203,i274
54675776,i275
56649450,i276
56842234,i277
91820602,i278
135398735,i279
135403648,i280
135410875,i281
