drug,index
5757,u1
229455,u2
3229,u3
36462,u4
712,u5
60750,u6
4091,u7
5310940,u8
5311,u9
444795,u10
6623,u11
119307,u12
444732,u13
3385,u14
14888,u15
446220,u16
31703,u17
451668,u18
784,u19
126290,u20
7222,u21
969516,u22
5288826,u23
5702198,u24
448537,u25
5283740,u26
6013,u27
10635,u28
8642,u29
5790,u30
60838,u31
60700,u32
1832,u33
2995,u34
3386,u35
3564,u36
4095,u37
4158,u38
6089,u39
5283344,u40
3121,u41
9444,u42
60953,u43
36314,u44
216239,u45
73581,u46
4212,u47
60852,u48
123596,u49
31401,u50
2336,u51
89594,u52
122634,u53
5281708,u54
5743,u55
13342,u56
3028194,u57
387447,u58
13089,u59
24497,u60
5793,u61
162282,u62
107985,u63
6279,u64
11953817,u65
47318,u66
9804992,u67
2578,u68
23973,u69
31101,u70
3071,u71
455658,u72
60823,u73
5280961,u74
3117,u75
164676,u76
15625,u77
114900,u78
5073,u79
148124,u80
2733526,u81
135398735,u82
445154,u83
5288209,u84
72304,u85
