drug,index
5757,u1
229455,u2
3229,u3
36462,u4
712,u5
60750,u6
4091,u7
5310940,u8
3385,u9
145858,u10
689043,u11
445858,u12
5311,u13
452707,u14
444795,u15
6623,u16
119307,u17
444732,u18
14888,u19
446220,u20
5394,u21
2375,u22
31703,u23
451668,u24
10621,u25
3902,u26
969516,u27
9064,u28
784,u29
148124,u30
47725,u31
126290,u32
7222,u33
5288826,u34
5702198,u35
448537,u36
442428,u37
5352624,u38
5283740,u39
6013,u40
387447,u41
462382,u42
445434,u43
10635,u44
8642,u45
5790,u46
60838,u47
60700,u48
1832,u49
2995,u50
3386,u51
3564,u52
4095,u53
4158,u54
6089,u55
72304,u56
5283344,u57
3121,u58
9444,u59
24360,u60
60953,u61
36314,u62
216239,u63
73581,u64
4212,u65
60852,u66
108065,u67
2662,u68
123596,u69
5994,u70
107985,u71
31401,u72
2336,u73
89594,u74
122634,u75
15,u76
5281708,u77
5743,u78
13342,u79
5280961,u80
702,u81
3028194,u82
5816,u83
460612,u84
13089,u85
24497,u86
5793,u87
162282,u88
6279,u89
667639,u90
11953817,u91
47318,u92
9804992,u93
2578,u94
23973,u95
31101,u96
3071,u97
91466,u98
21109,u99
455658,u100
60823,u101
2733526,u102
3117,u103
164676,u104
15625,u105
114900,u106
53232,u107
5073,u108
5282350,u109
135398735,u110
445154,u111
5288209,u112
5280343,u113
3220,u114
241,u115
5280795,u116
4624,u117
445580,u118
445639,u119
985,u120
5329102,u121
5284373,u122
5222465,u123
97226,u124
54670067,u125
5280453,u126
24288,u127
10836,u128
123631,u129
46843772,u130
42611257,u131
5865,u132
15939,u133
1175,u134
3652,u135
216326,u136
9547215,u137
452548,u138
444797,u139
444796,u140
21633059,u141
544,u142
9576410,u143
5978,u144
5318517,u145
119104,u146
265237,u147
638278,u148
442793,u149
41867,u150
14403,u151
5280448,u152
9949648,u153
