drug,index
784,u1
2051,u2
2520,u3
2578,u4
2767,u5
2907,u6
3101,u7
3385,u8
3657,u9
4212,u10
4891,u11
5291,u12
5311,u13
5394,u14
5743,u15
5746,u16
5755,u17
5865,u18
5978,u19
6253,u20
9903,u21
10635,u22
24360,u23
30323,u24
31703,u25
36314,u26
36462,u27
37542,u28
38904,u29
41867,u30
43815,u31
44259,u32
60606,u33
60700,u34
60750,u35
60780,u36
60953,u37
64971,u38
65064,u39
65348,u40
72301,u41
97226,u42
104741,u43
104758,u44
104842,u45
122724,u46
123631,u47
126941,u48
148124,u49
156413,u50
176870,u51
216239,u52
216345,u53
241903,u54
285033,u55
387447,u56
442972,u57
444732,u58
444795,u59
446556,u60
448013,u61
452548,u62
460612,u63
636397,u64
644241,u65
657237,u66
969516,u67
1548943,u68
2733526,u69
3006531,u70
3062316,u71
5280961,u72
5284583,u73
5284616,u74
5310940,u75
5311272,u76
5329102,u77
5360373,u78
6505803,u79
9826528,u80
9915743,u81
9931953,u82
10184653,u83
11226684,u84
11228183,u85
11626560,u86
23725625,u87
24180719,u88
24801581,u89
24978538,u90
25183872,u91
42611257,u92
45266826,u93
54671203,u94
56842234,u95
57347814,u96
91820602,u97
