miRNA,index
hsa-mir-200b,i1
hsa-mir-21,i2
hsa-mir-24-1,i3
hsa-mir-214,i4
hsa-mir-15b,i5
hsa-mir-16-1,i6
hsa-mir-27a,i7
hsa-mir-451a,i8
hsa-let-7a-1,i9
hsa-let-7b,i10
hsa-let-7d,i11
hsa-let-7f-1,i12
hsa-let-7g,i13
hsa-let-7i,i14
hsa-mir-100,i15
hsa-mir-106a,i16
hsa-mir-106b,i17
hsa-mir-107,i18
hsa-mir-10a,i19
hsa-mir-125a,i20
hsa-mir-127,i21
hsa-mir-130a,i22
hsa-mir-132,i23
hsa-mir-133b,i24
hsa-mir-140,i25
hsa-mir-141,i26
hsa-mir-145,i27
hsa-mir-146b,i28
hsa-mir-148a,i29
hsa-mir-149,i30
hsa-mir-152,i31
hsa-mir-155,i32
hsa-mir-15a,i33
hsa-mir-17,i34
hsa-mir-181d,i35
hsa-mir-182,i36
hsa-mir-185,i37
hsa-mir-186,i38
hsa-mir-187,i39
hsa-mir-18a,i40
hsa-mir-18b,i41
hsa-mir-191,i42
hsa-mir-192,i43
hsa-mir-193b,i44
hsa-mir-195,i45
hsa-mir-196b,i46
hsa-mir-200a,i47
hsa-mir-200c,i48
hsa-mir-203a,i49
hsa-mir-205,i50
hsa-mir-206,i51
hsa-mir-20a,i52
hsa-mir-20b,i53
hsa-mir-210,i54
hsa-mir-212,i55
hsa-mir-215,i56
hsa-mir-22,i57
hsa-mir-221,i58
hsa-mir-222,i59
hsa-mir-224,i60
hsa-mir-23a,i61
hsa-mir-23b,i62
hsa-mir-25,i63
hsa-mir-27b,i64
hsa-mir-28,i65
hsa-mir-29a,i66
hsa-mir-301a,i67
hsa-mir-30a,i68
hsa-mir-30e,i69
hsa-mir-31,i70
hsa-mir-320a,i71
hsa-mir-323a,i72
hsa-mir-324,i73
hsa-mir-328,i74
hsa-mir-331,i75
hsa-mir-339,i76
hsa-mir-342,i77
hsa-mir-345,i78
hsa-mir-34a,i79
hsa-mir-34c,i80
hsa-mir-362,i81
hsa-mir-373,i82
hsa-mir-374a,i83
hsa-mir-375,i84
hsa-mir-378a,i85
hsa-mir-409,i86
hsa-mir-410,i87
hsa-mir-411,i88
hsa-mir-421,i89
hsa-mir-422a,i90
hsa-mir-424,i91
hsa-mir-429,i92
hsa-mir-431,i93
hsa-mir-432,i94
hsa-mir-433,i95
hsa-mir-455,i96
hsa-mir-484,i97
hsa-mir-485,i98
hsa-mir-487a,i99
hsa-mir-487b,i100
hsa-mir-489,i101
hsa-mir-493,i102
hsa-mir-495,i103
hsa-mir-503,i104
hsa-mir-532,i105
hsa-mir-542,i106
hsa-mir-557,i107
hsa-mir-574,i108
hsa-mir-584,i109
hsa-mir-590,i110
hsa-mir-615,i111
hsa-mir-637,i112
hsa-mir-654,i113
hsa-mir-660,i114
hsa-mir-7-1,i115
hsa-mir-9-1,i116
hsa-mir-93,i117
hsa-mir-96,i118
hsa-mir-99b,i119
hsa-mir-198,i120
hsa-mir-33a,i121
hsa-mir-32,i122
hsa-mir-1-1,i123
hsa-let-7e,i124
hsa-mir-29c,i125
hsa-mir-99a,i126
hsa-mir-126,i127
hsa-mir-130b,i128
hsa-mir-137,i129
hsa-mir-197,i130
hsa-mir-204,i131
hsa-mir-335,i132
hsa-mir-183,i133
hsa-mir-193a,i134
hsa-mir-216a,i135
hsa-mir-223,i136
hsa-mir-370,i137
hsa-mir-520e,i138
hsa-mir-142,i139
hsa-mir-330,i140
hsa-mir-340,i141
hsa-mir-34b,i142
hsa-mir-371a,i143
hsa-mir-381,i144
hsa-mir-502,i145
hsa-mir-520f,i146
hsa-mir-10b,i147
hsa-mir-135b,i148
hsa-mir-143,i149
hsa-mir-146a,i150
hsa-mir-151a,i151
hsa-mir-154,i152
hsa-mir-181c,i153
hsa-mir-190a,i154
hsa-mir-199b,i155
hsa-mir-19a,i156
hsa-mir-216b,i157
hsa-mir-299,i158
hsa-mir-301b,i159
hsa-mir-302a,i160
hsa-mir-302c,i161
hsa-mir-30b,i162
hsa-mir-30d,i163
hsa-mir-33b,i164
hsa-mir-361,i165
hsa-mir-367,i166
hsa-mir-369,i167
hsa-mir-376c,i168
hsa-mir-412,i169
hsa-mir-425,i170
hsa-mir-448,i171
hsa-mir-454,i172
hsa-mir-491,i173
hsa-mir-496,i174
hsa-mir-497,i175
hsa-mir-499a,i176
hsa-mir-505,i177
hsa-mir-517c,i178
hsa-mir-519b,i179
hsa-mir-520a,i180
hsa-mir-520d,i181
hsa-mir-526b,i182
hsa-mir-539,i183
hsa-mir-541,i184
hsa-mir-545,i185
hsa-mir-555,i186
hsa-mir-563,i187
hsa-mir-568,i188
hsa-mir-569,i189
hsa-mir-571,i190
hsa-mir-576,i191
hsa-mir-578,i192
hsa-mir-582,i193
hsa-mir-586,i194
hsa-mir-587,i195
hsa-mir-588,i196
hsa-mir-589,i197
hsa-mir-591,i198
hsa-mir-592,i199
hsa-mir-593,i200
hsa-mir-601,i201
hsa-mir-605,i202
hsa-mir-606,i203
hsa-mir-613,i204
hsa-mir-629,i205
hsa-mir-633,i206
hsa-mir-639,i207
hsa-mir-643,i208
hsa-mir-649,i209
hsa-mir-651,i210
hsa-mir-652,i211
hsa-mir-655,i212
hsa-mir-662,i213
hsa-mir-758,i214
hsa-mir-760,i215
hsa-mir-765,i216
hsa-mir-767,i217
hsa-mir-769,i218
hsa-mir-876,i219
hsa-mir-888,i220
hsa-mir-122,i221
hsa-let-7c,i222
hsa-mir-26b,i223
hsa-mir-326,i224
hsa-mir-136,i225
hsa-mir-148b,i226
hsa-mir-483,i227
hsa-mir-548c,i228
hsa-mir-551b,i229
hsa-mir-570,i230
hsa-mir-585,i231
hsa-mir-627,i232
hsa-mir-657,i233
hsa-mir-663a,i234
hsa-mir-668,i235
hsa-mir-188,i236
hsa-mir-498,i237
hsa-mir-518c,i238
hsa-mir-608,i239
hsa-mir-628,i240
hsa-mir-134,i241
hsa-mir-217,i242
hsa-mir-379,i243
hsa-mir-382,i244
hsa-mir-494,i245
hsa-mir-452,i246
hsa-mir-500a,i247
hsa-mir-363,i248
hsa-mir-620,i249
hsa-mir-296,i250
hsa-mir-150,i251
hsa-mir-380,i252
hsa-mir-661,i253
hsa-mir-744,i254
hsa-mir-892b,i255
hsa-mir-935,i256
hsa-mir-98,i257
hsa-mir-519c,i258
hsa-mir-383,i259
hsa-mir-625,i260
hsa-mir-338,i261
hsa-mir-365a,i262
hsa-mir-372,i263
hsa-mir-449b,i264
hsa-mir-518b,i265
hsa-mir-190b,i266
hsa-mir-302b,i267
hsa-mir-302d,i268
hsa-mir-450b,i269
hsa-mir-517a,i270
hsa-mir-517b,i271
hsa-mir-518d,i272
hsa-mir-518e,i273
hsa-mir-518f,i274
hsa-mir-519d,i275
hsa-mir-520b,i276
hsa-mir-520c,i277
hsa-mir-520g,i278
hsa-mir-520h,i279
hsa-mir-522,i280
hsa-mir-523,i281
hsa-mir-524,i282
hsa-mir-525,i283
hsa-mir-708,i284
hsa-mir-1228,i285
hsa-mir-1246,i286
hsa-mir-1470,i287
hsa-mir-1908,i288
hsa-mir-638,i289
hsa-mir-1299,i290
hsa-mir-300,i291
hsa-mir-642a,i292
hsa-mir-374b,i293
hsa-mir-423,i294
hsa-mir-510,i295
hsa-mir-549a,i296
hsa-mir-665,i297
hsa-mir-891a,i298
hsa-mir-939,i299
hsa-mir-506,i300
hsa-mir-636,i301
hsa-mir-519e,i302
hsa-mir-1202,i303
hsa-mir-1225,i304
hsa-mir-1275,i305
hsa-mir-1915,i306
hsa-mir-297,i307
hsa-mir-630,i308
hsa-mir-298,i309
hsa-mir-1290,i310
hsa-mir-3175,i311
hsa-mir-320e,i312
hsa-mir-3651,i313
hsa-mir-4284,i314
hsa-mir-4289,i315
hsa-mir-1207,i316
hsa-mir-337,i317
hsa-mir-144,i318
hsa-mir-202,i319
hsa-mir-466,i320
hsa-mir-501,i321
hsa-mir-671,i322
hsa-mir-492,i323
hsa-mir-944,i324
hsa-mir-184,i325
hsa-mir-885,i326
hsa-mir-631,i327
hsa-mir-645,i328
hsa-mir-942,i329
hsa-mir-211,i330
hsa-mir-3183,i331
hsa-mir-4258,i332
hsa-mir-4285,i333
hsa-mir-4311,i334
hsa-mir-612,i335
hsa-mir-1250,i336
hsa-mir-139,i337
hsa-mir-1825,i338
hsa-mir-564,i339
hsa-mir-624,i340
hsa-mir-659,i341
hsa-mir-933,i342
hsa-mir-1277,i343
hsa-mir-1293,i344
hsa-mir-2116,i345
hsa-mir-2277,i346
hsa-mir-2682,i347
hsa-mir-3117,i348
hsa-mir-3186,i349
hsa-mir-3654,i350
hsa-mir-365b,i351
hsa-mir-3660,i352
hsa-mir-3674,i353
hsa-mir-3679,i354
hsa-mir-4426,i355
hsa-mir-4427,i356
hsa-mir-4448,i357
hsa-mir-4454,i358
hsa-mir-4485,i359
hsa-mir-4488,i360
hsa-mir-4501,i361
hsa-mir-4687,i362
hsa-mir-500b,i363
hsa-mir-577,i364
hsa-mir-877,i365
hsa-mir-1224,i366
hsa-mir-1229,i367
hsa-mir-1238,i368
hsa-mir-3131,i369
hsa-mir-3149,i370
hsa-mir-3162,i371
hsa-mir-4701,i372
hsa-mir-4728,i373
hsa-mir-4763,i374
hsa-mir-766,i375
hsa-mir-640,i376
hsa-mir-1291,i377
hsa-mir-653,i378
hsa-mir-147a,i379
hsa-mir-1197,i380
hsa-mir-1200,i381
hsa-mir-1264,i382
hsa-mir-1265,i383
hsa-mir-2114,i384
hsa-mir-2278,i385
hsa-mir-23c,i386
hsa-mir-3065,i387
hsa-mir-3074,i388
hsa-mir-3144,i389
hsa-mir-3153,i390
hsa-mir-3161,i391
hsa-mir-3163,i392
hsa-mir-3164,i393
hsa-mir-3167,i394
hsa-mir-3168,i395
hsa-mir-3173,i396
hsa-mir-603,i397
hsa-mir-610,i398
hsa-mir-920,i399
hsa-mir-92b,i400
hsa-mir-508,i401
hsa-mir-208a,i402
hsa-mir-602,i403
hsa-mir-650,i404
hsa-mir-24-2,i405
hsa-let-7a-2,i406
hsa-mir-1178,i407
hsa-mir-1179,i408
hsa-mir-1181,i409
hsa-mir-1182,i410
hsa-mir-1183,i411
hsa-mir-1206,i412
hsa-mir-1236,i413
hsa-mir-1247,i414
hsa-mir-1257,i415
hsa-mir-1258,i416
hsa-mir-1267,i417
hsa-mir-1270,i418
hsa-mir-1281,i419
hsa-mir-1287,i420
hsa-mir-1292,i421
hsa-mir-1297,i422
hsa-mir-1301,i423
hsa-mir-1303,i424
hsa-mir-1304,i425
hsa-mir-1306,i426
hsa-mir-1321,i427
hsa-mir-1323,i428
hsa-mir-1468,i429
hsa-mir-16-2,i430
hsa-mir-1910,i431
hsa-mir-504,i432
hsa-mir-548m,i433
hsa-mir-558,i434
hsa-mir-561,i435
hsa-mir-572,i436
hsa-mir-581,i437
hsa-mir-595,i438
hsa-mir-598,i439
hsa-mir-609,i440
hsa-mir-611,i441
hsa-mir-616,i442
hsa-mir-619,i443
hsa-mir-634,i444
hsa-mir-658,i445
hsa-mir-663b,i446
hsa-mir-664a,i447
hsa-mir-675,i448
hsa-mir-7-3,i449
hsa-mir-770,i450
hsa-mir-936,i451
hsa-mir-940,i452
hsa-let-7f-2,i453
hsa-mir-377,i454
hsa-mir-597,i455
hsa-mir-1204,i456
hsa-mir-1296,i457
hsa-mir-346,i458
hsa-mir-513b,i459
hsa-mir-875,i460
hsa-mir-922,i461
hsa-mir-938,i462
hsa-mir-376b,i463
hsa-mir-95,i464
hsa-mir-3681,i465
hsa-mir-488,i466
hsa-mir-889,i467
hsa-mir-618,i468
hsa-mir-622,i469
hsa-mir-647,i470
hsa-mir-1973,i471
hsa-mir-3196,i472
hsa-mir-4288,i473
hsa-mir-676,i474
hsa-mir-4430,i475
hsa-mir-3127,i476
hsa-mir-4713,i477
hsa-mir-548b,i478
hsa-mir-1256,i479
hsa-mir-1271,i480
hsa-mir-1226,i481
hsa-mir-1234,i482
hsa-mir-1237,i483
hsa-mir-1249,i484
hsa-mir-1288,i485
hsa-mir-1307,i486
hsa-mir-1343,i487
hsa-mir-1469,i488
hsa-mir-147b,i489
hsa-mir-1913,i490
hsa-mir-1914,i491
hsa-mir-1976,i492
hsa-mir-2355,i493
hsa-mir-2467,i494
hsa-mir-2861,i495
hsa-mir-3064,i496
hsa-mir-3126,i497
hsa-mir-3141,i498
hsa-mir-3147,i499
hsa-mir-3154,i500
hsa-mir-3177,i501
hsa-mir-3178,i502
hsa-mir-3184,i503
hsa-mir-3187,i504
hsa-mir-3188,i505
hsa-mir-3193,i506
hsa-mir-3194,i507
hsa-mir-3195,i508
hsa-mir-3200,i509
hsa-mir-3619,i510
hsa-mir-3620,i511
hsa-mir-3621,i512
hsa-mir-3665,i513
hsa-mir-3682,i514
hsa-mir-378c,i515
hsa-mir-378e,i516
hsa-mir-378f,i517
hsa-mir-378g,i518
hsa-mir-378i,i519
hsa-mir-3917,i520
hsa-mir-3937,i521
hsa-mir-3940,i522
hsa-mir-4257,i523
hsa-mir-4261,i524
hsa-mir-4279,i525
hsa-mir-4286,i526
hsa-mir-4319,i527
hsa-mir-4428,i528
hsa-mir-4455,i529
hsa-mir-4463,i530
hsa-mir-4465,i531
hsa-mir-4466,i532
hsa-mir-4467,i533
hsa-mir-4476,i534
hsa-mir-4478,i535
hsa-mir-4484,i536
hsa-mir-4487,i537
hsa-mir-4492,i538
hsa-mir-4497,i539
hsa-mir-4508,i540
hsa-mir-4516,i541
hsa-mir-4521,i542
hsa-mir-4530,i543
hsa-mir-4535,i544
hsa-mir-4638,i545
hsa-mir-4640,i546
hsa-mir-4646,i547
hsa-mir-4655,i548
hsa-mir-4665,i549
hsa-mir-4669,i550
hsa-mir-4674,i551
hsa-mir-4675,i552
hsa-mir-4685,i553
hsa-mir-4689,i554
hsa-mir-4695,i555
hsa-mir-4706,i556
hsa-mir-4707,i557
hsa-mir-4710,i558
hsa-mir-4711,i559
hsa-mir-4716,i560
hsa-mir-4721,i561
hsa-mir-4722,i562
hsa-mir-4723,i563
hsa-mir-4725,i564
hsa-mir-4731,i565
hsa-mir-4732,i566
hsa-mir-4739,i567
hsa-mir-4745,i568
hsa-mir-4749,i569
hsa-mir-4750,i570
hsa-mir-4758,i571
hsa-mir-4783,i572
hsa-mir-4787,i573
hsa-mir-614,i574
hsa-mir-670,i575
hsa-mir-718,i576
hsa-mir-762,i577
hsa-mir-873,i578
hsa-mir-874,i579
hsa-mir-887,i580
hsa-mir-921,i581
hsa-mir-1248,i582
hsa-mir-579,i583
hsa-mir-449a,i584
hsa-mir-4324,i585
hsa-mir-4443,i586
hsa-mir-3185,i587
hsa-mir-490,i588
hsa-mir-3146,i589
hsa-mir-4653,i590
hsa-mir-4678,i591
hsa-mir-4788,i592
hsa-mir-802,i593
hsa-mir-1253,i594
hsa-mir-1538,i595
hsa-mir-1539,i596
hsa-mir-1911,i597
hsa-mir-513c,i598
hsa-mir-621,i599
hsa-mir-626,i600
hsa-mir-635,i601
hsa-mir-891b,i602
hsa-mir-924,i603
hsa-mir-934,i604
hsa-mir-1261,i605
hsa-mir-2113,i606
hsa-mir-3139,i607
hsa-mir-3611,i608
hsa-mir-371b,i609
hsa-mir-3960,i610
hsa-mir-4447,i611
hsa-mir-4483,i612
hsa-mir-4644,i613
hsa-mir-4791,i614
hsa-mir-4800,i615
hsa-mir-6134,i616
hsa-mir-378b,i617
hsa-mir-449c,i618
hsa-mir-648,i619
hsa-mir-374c,i620
hsa-mir-4297,i621
hsa-mir-4473,i622
hsa-mir-4664,i623
hsa-mir-543,i624
